"Tanggal","Jenis.Produk","Jumlah.Order","Harga","Total","Bulan","Tahun"
2023-10-05,"Ivory350",10000,900,9000000,10,2023
2023-10-05,"Ivory350",4000,900,3600000,10,2023
2023-10-05,"GreaseProof",1000,400,400000,10,2023
2023-10-06,"Foodpakmatte245",1000,1600,1600000,10,2023
2023-10-07,"Ivory300",1000,1550,1550000,10,2023
2023-10-08,"Dupleks310P",3000,1450,4350000,10,2023
2023-10-08,"Dupleks350",2000,1800,3600000,10,2023
2023-10-08,"CraftLaminasi290",3000,800,2400000,10,2023
2023-10-08,"CraftLaminasi290",1500,875,1312500,10,2023
2023-10-08,"Dupleks310",1000,1850,1850000,10,2023
2023-10-08,"CraftLaminasi290",2000,1000,2000000,10,2023
2023-10-08,"HVS",10000,275,2750000,10,2023
2023-10-09,"GreaseProof",1000,450,450000,10,2023
2023-10-09,"Ivory230",1000,1000,1000000,10,2023
2023-10-09,"CraftFoodpak290",1000,850,850000,10,2023
2023-10-09,"Ivory250",1000,1600,1600000,10,2023
2023-10-09,"CraftLaminasi290",4000,1500,6000000,10,2023
2023-10-10,"Ivory300",1000,1500,1500000,10,2023
2023-10-11,"Ivory230",1000,1800,1800000,10,2023
2023-10-12,"Ivory250",1000,1700,1700000,10,2023
2023-10-12,"FoodpakMatte245",1000,1500,1500000,10,2023
2023-10-12,"FoodpakMatte245",4000,1500,6000000,10,2023
2023-10-12,"Dupleks350",2500,1800,4500000,10,2023
2023-10-13,"GreaseProof32gram",1000,400,400000,10,2023
2023-10-14,"Ivory230",1000,1600,1600000,10,2023
2023-10-14,"Ivory230",1000,1600,1600000,10,2023
2023-10-14,"Dupleks310",1000,1700,1700000,10,2023
2023-10-14,"Ivory270",1000,1900,1900000,10,2023
2023-10-14,"FoodpakMatte245",500,1500,750000,10,2023
2023-10-14,"FoodpakMatte245",500,1300,650000,10,2023
2023-10-14,"BOWL800ML",1000,2800,2800000,10,2023
2023-10-14,"CraftLaminasi290",2000,900,1800000,10,2023
2023-10-15,"Craft310",3000,1400,4200000,10,2023
2023-10-16,"Dupleks350",2000,1500,3000000,10,2023
2023-10-17,"Unbleached",1000,1000,1000000,10,2023
2023-10-17,"Foodpak260Matte",3000,1200,3600000,10,2023
2023-10-17,"FoodpakMatte295",1000,1900,1900000,10,2023
